scratch,,2021-08-11,sha256:73052cbe29b3f0b95e18095c49140b971fbbeab41b9c180a13975f74495db3d2
alpine,,2021-08-11,sha256:73052cbe29b3f0b95e18095c49140b971fbbeab41b9c180a13975f74495db3d2
debian,,2021-08-11,sha256:d4bda645e48cf64a6f85c86295f5327acb9f1ba5c23fe489e0db6b291d99d58c
